# --- MISSION SEGMENT START: M1_DOCKING_PREP (Total Pulses: 100) ---
[SEGMENT_ID:M1]
    [SUBSYSTEM:P] # Power Pulses (30)
        1000,95.50
        1001,95.45
        1002,95.60
        1003,95.30
        1004,95.40
        1005,95.55
        1006,95.75
        1007,95.35
        1008,95.20
        1009,95.10
        1010,95.05
        1011,95.15
        1012,95.25
        1013,95.35
        1014,95.45
        1015,95.50
        1016,95.55
        1017,95.60
        1018,95.65
        1019,95.70
        1020,95.75
        1021,95.80
        1022,95.85
        1023,95.90
        1024,95.95
        1025,95.98
        1026,96.05
        1027,96.10
        1028,96.15
        1029,96.20
    [SUBSYSTEM:T] # Thermal Pulses (35)
        1030,25.10
        1031,25.20
        1032,24.90
        1033,25.35
        1034,25.40
        1035,25.00
        1036,25.45
        1037,25.15
        1038,25.30
        1039,25.05
        1040,25.10
        1041,25.15
        1042,25.20
        1043,25.25
        1044,25.30
        1045,25.35
        1046,25.40
        1047,25.45
        1048,25.50
        1049,25.55
        1050,25.60
        1051,25.65
        1052,25.70
        1053,25.75
        1054,25.80
        1055,25.85
        1056,25.90
        1057,25.95
        1058,26.00
        1059,26.05
        1060,26.10
        1061,26.15
        1062,26.20
        1063,26.25
        1064,26.30
    [SUBSYSTEM:G] # Guidance Pulses (35)
        1065,0.012
        1066,0.010
        1067,0.009
        1068,0.015
        1069,0.018
        1070,0.011
        1071,0.013
        1072,0.014
        1073,0.016
        1074,0.017
        1075,0.018
        1076,0.019
        1077,0.020
        1078,0.021
        1079,0.022
        1080,0.023
        1081,0.024
        1082,0.025
        1083,0.026
        1084,0.027
        1085,0.028
        1086,0.029
        1087,0.030
        1088,0.031
        1089,0.032
        1090,0.033
        1091,0.034
        1092,0.035
        1093,0.036
        1094,0.037
        1095,0.038
        1096,0.039
        1097,0.040
        1098,0.041
        1099,0.042
# --- MISSION SEGMENT END: M1_DOCKING_PREP ---
### Mission Segment M2: ORBITAL MAINTENANCE (Records 101-200)
